Date,Hours,Wages,Labor Productivity,Labor Participation,Industrial Production,Capacity Utilization,Inventories,Retail Sales,LMV Sales,Durable Goods Orders,Comm & Ind loans,Consumer Credit,CPI,CPI Food,CPI Energy,PCE,PCE ex Food & Energy,PPI Finished Goods,PPI Fin Goods ex Food & Energy,PPI Processed Goods,PPI Unprocessed Goods,House Price Index,WTI Crude,M1,M2,VIX Index,IG Index,HY Index,Fed Funds,US10Y,AAA Yield,BBB Yield,Mortgage Rate,Real GDP,Real PCE,Real Private Investment,Real Pot GDP,Real Pers Income,Personal Saving Rate
2005-10-01,40.90,16.32,84.87,66.00,97.30,80.24,1302101.00,174508.00,15.85,217378.00,1024.36,2283.81,198.43,192.50,194.83,83.19,82.83,159.60,156.80,160.93,208.20,362.92,60.03,1375.60,6658.50,12.78,384.24,390.78,3.97,4.49,5.38,6.33,6.23,16136.73,10765.68,2857.35,16061.95,11148.90,2.50
2006-01-01,41.00,16.48,85.47,66.10,98.23,80.66,1330275.00,178427.00,16.83,218822.00,1058.73,2376.09,199.47,193.77,194.23,83.62,83.31,159.50,157.97,161.83,189.80,368.67,63.27,1380.40,6745.30,12.04,387.05,394.22,4.43,4.57,5.39,6.31,6.25,16353.84,10883.08,2899.23,16152.34,11380.40,3.20
2006-04-01,41.20,16.67,85.37,66.10,98.81,80.75,1362526.00,177544.00,16.36,217221.00,1102.37,2400.22,201.27,194.20,199.37,84.36,83.98,160.87,158.80,164.20,181.93,372.45,70.46,1381.30,6817.30,14.53,383.47,388.75,4.90,5.07,5.90,6.74,6.60,16396.15,10939.50,2882.56,16240.36,11446.10,3.00
2006-07-01,41.20,16.82,85.19,66.10,99.20,80.61,1389566.00,176974.00,16.48,218223.00,1144.69,2415.21,203.17,195.73,205.97,84.96,84.43,161.10,158.67,165.57,183.40,375.51,70.48,1369.70,6915.90,13.61,391.78,397.62,5.24,4.90,5.68,6.59,6.56,16420.74,11009.75,2871.59,16324.19,11443.90,2.40
2006-10-01,41.10,16.99,85.75,66.30,99.44,80.26,1405907.00,178162.00,16.34,223668.00,1171.22,2442.29,202.33,197.00,186.97,84.82,84.79,159.93,159.47,163.83,184.47,379.35,59.94,1369.20,7031.10,11.03,402.66,411.11,5.25,4.63,5.39,6.29,6.24,16561.87,11114.77,2818.23,16403.59,11623.70,2.60
2007-01-01,41.10,17.15,86.05,66.30,100.46,80.52,1417495.00,178608.00,16.37,224486.00,1204.52,2470.81,204.32,199.52,194.27,85.60,85.38,162.57,160.67,165.37,196.70,380.76,58.08,1367.10,7131.30,12.56,407.63,417.68,5.25,4.68,5.36,6.30,6.21,16611.69,11183.32,2800.04,16483.84,11715.30,2.70
2007-04-01,41.30,17.34,86.31,66.00,101.62,80.96,1437277.00,178301.00,16.11,230375.00,1244.96,2507.62,206.63,201.75,207.25,86.32,85.73,165.80,161.37,169.47,204.90,380.51,64.97,1375.70,7251.80,13.73,409.05,419.22,5.25,4.85,5.58,6.49,6.36,16713.31,11212.67,2827.01,16565.40,11806.90,2.80
2007-07-01,41.30,17.50,87.07,65.90,101.71,80.72,1453520.00,178552.00,15.91,231802.00,1313.15,2551.14,207.94,204.08,208.93,86.81,86.15,166.93,162.23,171.10,201.83,376.26,75.22,1374.60,7365.80,21.59,411.24,419.27,5.10,4.74,5.76,6.63,6.55,16809.59,11287.47,2794.53,16648.12,11806.30,2.40
2007-10-01,41.20,17.63,87.74,65.90,102.03,80.93,1477074.00,178705.00,15.96,234049.00,1395.30,2596.48,210.49,206.34,220.62,87.69,86.75,171.13,163.23,175.43,226.50,375.04,90.58,1374.90,7443.50,22.03,420.60,429.11,4.54,4.27,5.54,6.51,6.22,16915.19,11331.95,2762.52,16731.37,11800.60,2.20
2008-01-01,41.20,17.80,87.17,66.10,101.78,80.85,1505137.00,175436.00,15.12,236431.00,1453.72,2633.18,212.77,208.78,229.95,88.41,87.21,174.20,164.67,181.53,253.60,372.29,97.86,1382.30,7584.10,26.12,430.37,431.06,3.27,3.68,5.45,6.74,5.87,16843.00,11316.41,2687.00,16814.13,11838.70,2.80
2008-04-01,41.10,17.98,88.20,66.00,100.25,79.76,1519572.00,173996.00,14.23,229239.00,1493.18,2658.95,215.54,212.16,246.93,89.27,87.57,178.50,166.23,190.93,284.77,362.90,123.78,1396.50,7713.10,20.67,427.06,428.59,2.09,3.88,5.60,6.99,6.09,16943.29,11347.60,2641.85,16894.42,11724.20,4.60
2008-07-01,40.80,18.16,88.41,66.10,96.94,77.06,1534587.00,169674.00,13.08,216587.00,1518.96,2661.65,218.86,216.58,264.61,90.22,88.02,182.70,168.13,198.90,276.30,351.46,118.29,1430.20,7808.40,25.09,419.07,423.84,1.99,3.87,5.64,7.18,6.32,16854.30,11260.14,2589.25,16971.79,11660.80,3.50
2008-10-01,40.10,18.31,87.94,65.90,92.80,73.51,1492726.00,159651.00,10.35,182438.00,1573.50,2652.00,213.85,218.94,203.27,88.78,87.95,173.63,170.57,180.47,193.30,348.22,58.68,1530.00,8057.70,58.59,400.32,373.74,0.56,3.30,5.85,8.82,5.84,16485.35,11158.80,2338.94,17045.16,11747.60,5.60
2009-01-01,39.50,18.44,88.95,65.70,87.57,69.07,1427104.00,157308.00,9.38,148747.00,1529.69,2636.13,212.38,218.90,180.27,88.18,87.95,170.17,170.97,170.53,165.53,350.80,43.14,1576.30,8315.40,45.00,414.98,392.24,0.19,2.70,5.24,8.20,5.06,16298.26,11130.46,2073.14,17113.13,11332.50,5.70
2009-04-01,39.40,18.54,90.99,65.70,85.14,66.95,1371601.00,156976.00,9.72,147918.00,1465.77,2605.82,213.51,217.93,184.81,88.53,88.29,171.27,171.43,169.83,168.30,341.60,59.61,1629.30,8414.70,33.02,420.29,420.26,0.18,3.30,5.52,8.02,5.01,16269.15,11075.75,1952.64,17177.09,11181.20,6.80
2009-07-01,40.00,18.65,92.42,65.30,86.59,68.08,1325261.00,158769.00,11.76,156407.00,1365.59,2583.19,215.34,217.34,200.05,89.14,88.61,172.97,171.60,173.07,172.73,332.69,68.14,1662.50,8444.80,25.49,448.07,471.43,0.16,3.53,5.28,6.71,5.16,16326.28,11150.23,1946.87,17237.65,11046.90,5.10
2009-10-01,40.40,18.79,93.68,64.90,87.94,69.36,1329827.00,158518.00,10.75,160679.00,1287.63,2556.67,217.03,217.65,208.52,89.83,89.16,176.00,171.90,176.57,194.33,330.16,76.00,1684.50,8489.30,23.07,463.41,499.21,0.12,3.44,5.18,6.31,4.92,16502.75,11137.95,2128.52,17296.78,11062.00,5.30
